node_1|node_2|edge|chunk_id
hibit peptide reporter tag|gcase variants|preserves trafficking and function of|1c5675f4fb034241aaeb0e95567374fd
hibit-gcase h4 cell lines|ultrahigh-throughput screening format|tested in|1c5675f4fb034241aaeb0e95567374fd
ultrahigh-throughput screening format|1,536-well plate|is a type of|1c5675f4fb034241aaeb0e95567374fd
hibit-gcase-l444p variant|dose-dependent response|shows|1c5675f4fb034241aaeb0e95567374fd
primary screening assay|716 compounds|identified|1c5675f4fb034241aaeb0e95567374fd
716 compounds|hit compounds|represents|1c5675f4fb034241aaeb0e95567374fd
hit compounds|140 confirmed hits|includes|1c5675f4fb034241aaeb0e95567374fd
final hit compounds|mechanisms of action|represented several|1c5675f4fb034241aaeb0e95567374fd
final hit compounds|epigenetic mechanisms|includes|1c5675f4fb034241aaeb0e95567374fd
cell-based assay platform|quantitative high-throughput screening (qhts)|provides|1c5675f4fb034241aaeb0e95567374fd
biological modulators|proteasome inhibitors|are types of|d8bea43d8e874d7089c5b3ce753e7125
biological modulators|gsk-3 inhibitors|are types of|d8bea43d8e874d7089c5b3ce753e7125
pladienolide b|potent compounds|is a type of|d8bea43d8e874d7089c5b3ce753e7125
trans-isrib|potent compounds|is a type of|d8bea43d8e874d7089c5b3ce753e7125
pladienolide b|gsk-3 inhibitors|is a specific example of|d8bea43d8e874d7089c5b3ce753e7125
trans-isrib|proteasome inhibitors|is a specific example of|d8bea43d8e874d7089c5b3ce753e7125
proteasome inhibitors|therapeutic applications|are used in|d8bea43d8e874d7089c5b3ce753e7125
gsk-3 inhibitors|therapeutic applications|are used in|d8bea43d8e874d7089c5b3ce753e7125
potent compounds|screening methods|are identified by|d8bea43d8e874d7089c5b3ce753e7125
biological modulators|cellular regulation|are involved in|d8bea43d8e874d7089c5b3ce753e7125
materials science|conclusion|The conclusion summarizes findings and implications derived from research in materials science.|c2e70deee6c2442cb169e8dcb53c2a61
small-molecule gcase enhancers|cell-based assays|is a challenge for|92745fc73fe94b628d4d8ad3859e2297
cell-based assays|high-throughput screening (hts)|is amenable to|92745fc73fe94b628d4d8ad3859e2297
high-throughput screening (hts)|compound identification|drives|92745fc73fe94b628d4d8ad3859e2297
compound identification|pharmacological validation|is followed by|92745fc73fe94b628d4d8ad3859e2297
pharmacological validation|medicinal chemistry optimization|is part of|92745fc73fe94b628d4d8ad3859e2297
novel chemical entities|gcase enhancers|is a type of|92745fc73fe94b628d4d8ad3859e2297
gba1 molecular target|scientific knowledge|informs the design of|92745fc73fe94b628d4d8ad3859e2297
gcase enhancers|therapeutic agents|is a type of|92745fc73fe94b628d4d8ad3859e2297
integrated approach|rational drug development|enables|92745fc73fe94b628d4d8ad3859e2297
physiologically relevant|gcase enhancers|is a characteristic of|92745fc73fe94b628d4d8ad3859e2297
translational assays|drug discovery|accelerate|58ba000eb1f74acbaf3fb5b74133f5f8
n-terminal hibit tag|gcase maturation|has negligible influence on|58ba000eb1f74acbaf3fb5b74133f5f8
n-terminal hibit tag|gcase trafficking|has negligible influence on|58ba000eb1f74acbaf3fb5b74133f5f8
n-terminal hibit tag|gcase function|has negligible influence on|58ba000eb1f74acbaf3fb5b74133f5f8
hibit-gcase-l444p assay|protein complexes (pcs)|detects|58ba000eb1f74acbaf3fb5b74133f5f8
hibit-gcase-l444p assay|protein residues (prs)|detects|58ba000eb1f74acbaf3fb5b74133f5f8
hibit-gcase-l444p assay|lead discovery|utility for|58ba000eb1f74acbaf3fb5b74133f5f8
hibit-gcase-l444p assay|drug development|utility for|58ba000eb1f74acbaf3fb5b74133f5f8
gcase maturation|gcase trafficking|affects|58ba000eb1f74acbaf3fb5b74133f5f8
gcase maturation|gcase function|affects|58ba000eb1f74acbaf3fb5b74133f5f8
gba1 gene|gaucher disease (gd)|is a target for|bf3a1236649540429951c4a914dbbb3f
gba1 gene|gba1-related parkinson's disease (gba1-pd)|is related to|bf3a1236649540429951c4a914dbbb3f
drug discovery pipeline|multilevel approach|is a type of|bf3a1236649540429951c4a914dbbb3f
small molecules|gcase-l444p variant|increase levels of|bf3a1236649540429951c4a914dbbb3f
lysosomal activity|lysosomal translocation|is associated with|bf3a1236649540429951c4a914dbbb3f
pladienolide b|mechanism of action|has a novel|bf3a1236649540429951c4a914dbbb3f
ncgc326|pharmacological compound (pc)|is an improved derivative of|bf3a1236649540429951c4a914dbbb3f
glucer accumulation|h4 cell model|is reversed in|bf3a1236649540429951c4a914dbbb3f
gcase-l444p variant|protein levels|affects|bf3a1236649540429951c4a914dbbb3f
lysosomal activity|small molecules|is enhanced by|bf3a1236649540429951c4a914dbbb3f
combinatorial matrix screening|synergistic interactions|is a method to identify|2772668019984017a983a48b60d06f93
pharmacological agents|combinations|interact synergistically with|2772668019984017a983a48b60d06f93
gcase-l444p variant|enzyme levels|enhanced by|2772668019984017a983a48b60d06f93
screening hits|validation assays|validated in|2772668019984017a983a48b60d06f93
therapeutic intervention|patients|provides for|2772668019984017a983a48b60d06f93
neuronopathic gaucher disease|gba1-related parkinson's disease|is a disease associated with|2772668019984017a983a48b60d06f93
gcase activity deficiencies|related diseases|associated with|2772668019984017a983a48b60d06f93
screening hits|subsequent investigation|should be prioritized for|2772668019984017a983a48b60d06f93
therapeutic intervention|efficacy|is a characteristic of|2772668019984017a983a48b60d06f93
gcase-l444p variant|synergistic interactions|involves|2772668019984017a983a48b60d06f93
