,node_1,node_2,edge_list,weight_list
107,mechanical testing,material strength,Mechanical testing assesses the strength of materials.,1.0
108,moderate expression,hibit-tagged gcase,results in,1.0
109,molecular identification,pharmacological validation,leads to,1.0
110,molecular targets,gba1 pathway,regulate,1.0
111,monoclonal human gcase antibody,hgcase-1/23,is a type of,1.0
112,mutations,gaucher disease,cause,1.0
113,n-terminal hibit tag,gcase function,has negligible influence on,1.0
114,n-terminal hibit tag,gcase maturation,has negligible influence on,1.0
115,n-terminal hibit tag,gcase trafficking,has negligible influence on,1.0
116,n-terminal region,hibit,is location of,1.0
117,ncats bioactive compounds,chemical libraries,is a source of,1.0
118,ncgc326,noninhibitory chaperones,is a type of,1.0
119,ncgc326,pharmacological compound (pc),is an improved derivative of,1.0
120,neuronopathic gaucher disease,gba1-related parkinson's disease,is a disease associated with,1.0
121,novel chemical entities,gcase enhancers,is a type of,1.0
122,output set,potential therapeutics,produced a,1.0
123,panobinostat,proteostasis regulators,is a type of,1.0
124,parkinson's disease (pd),therapeutic intervention,is developed for,1.0
125,parkinson's disease (pd),treatment,requires a,1.0
126,pharmacological agents,combinations,interact synergistically with,1.0
127,pharmacological validation,medicinal chemistry optimization,"supports,is part of",2.0
128,physiologically relevant,gcase enhancers,is a characteristic of,1.0
129,physiologically relevant assays,molecular identification,facilitates,1.0
130,pladienolide b,gsk-3 inhibitors,is a specific example of,1.0
131,pladienolide b,mechanism of action,has a novel,1.0
132,pladienolide b,potent compounds,is a type of,1.0
133,pladienolide b,proteostasis regulators,is a type of,1.0
134,potent compounds,screening methods,are identified by,1.0
135,potential therapeutics,glucocerebrosidase modulators,may include,1.0
136,primary screening,"10,779 compounds",involves,1.0
137,primary screening assay,716 compounds,identified,1.0
138,proteasome inhibitors,therapeutic applications,are used in,1.0
139,protein stabilization,cellular systems,enables quantitation in,1.0
140,quantitative assays,correctors of protein misfolding,identify,1.0
141,reporter protein,localization,is subject to,1.0
142,results,findings,Results are often referred to as findings in the context of materials science research.,1.0
143,robust cell-based assays,lead compounds,facilitate discovery of,1.0
144,screening hits,subsequent investigation,should be prioritized for,1.0
145,screening hits,validation assays,validated in,1.0
146,screening process,small molecules,identified,1.0
147,small molecules,gcase enzyme,target,1.0
148,small molecules,gcase-l444p variant,increase levels of,1.0
149,small molecules,glucocerebrosidase,are relevant to,1.0
150,small-molecule gcase enhancers,cell-based assays,is a challenge for,1.0
151,small-molecule stabilizers,glucocerebrosidase,are developed for,1.0
152,synthesis methods,material properties,Synthesis methods influence the properties of the resulting materials.,1.0
153,talen gene editing,hibit-gba1 transgene,allows stable integration of,1.0
154,target atlas,molecular targets,provides,1.0
155,therapeutic intervention,development process,is part of the process of,1.0
156,therapeutic intervention,efficacy,is a characteristic of,1.0
157,therapeutic intervention,gaucher disease (gd),is a viable treatment for,1.0
158,therapeutic intervention,parkinson's disease (pd),is a viable treatment for,1.0
159,therapeutic intervention,patients,provides for,1.0
160,therapeutic intervention,treatment,is a type of,1.0
161,therapeutic target,gcase,is,1.0
162,thermal analysis,phase transitions,Thermal analysis techniques are used to study phase transitions in materials.,1.0
163,titration-based quantitative high-throughput screening,lead discovery,is a method for,1.0
164,trans-isrib,potent compounds,is a type of,1.0
165,trans-isrib,proteasome inhibitors,is a specific example of,1.0
166,trans-isrib,proteostasis regulators,is a type of,1.0
167,transcription activator-like effector nucleases (talens),gene editing,is a method of,1.0
168,transcription activator-like effector nucleases (talens),transgene cassette,is used to integrate,1.0
169,transgene,gba1 signal peptide,contains,1.0
170,transgene,global gene expression,has minimal impact on,1.0
171,transgene,glycine/serine linker,contains upstream of,1.0
172,transgene,hibit peptide tag,contains,1.0
173,transgene,local gene expression,has minimal impact on,1.0
174,transgene cassette,citrate lyase beta-like (clybl) gene,is integrated into,1.0
175,translational assays,drug discovery,accelerate,1.0
176,ultrahigh-throughput screening format,"1,536-well plate",is a type of,1.0
177,untagged gcase,endoplasmic reticulum accumulation,leads to,1.0
178,viability,therapeutic intervention,describes the quality of,1.0
