node_1|node_2|edge|chunk_id
genome-wide association study (gwas)|gba gene mutations|confirms correlation with|38d7ac2f9f054974a2e35123ee3bd298
gcase enzyme activity|ambroxol (abx)|may increase|38d7ac2f9f054974a2e35123ee3bd298
gcase enzyme levels|ambroxol (abx)|may increase|38d7ac2f9f054974a2e35123ee3bd298
alpha-synuclein autophagy-lysosome degradation pathways|gcase enzyme activity|enhanced by|38d7ac2f9f054974a2e35123ee3bd298
parkinson's disease (pd)|risk of developing|is higher for carriers of|38d7ac2f9f054974a2e35123ee3bd298
gba gene mutations|risk of developing pd|increases the|38d7ac2f9f054974a2e35123ee3bd298
dementia with lewy bodies (dlb)|gba gene mutations|show higher incidence of|38d7ac2f9f054974a2e35123ee3bd298
in vivo experiments|gcase enzyme activity|demonstrate effects on|38d7ac2f9f054974a2e35123ee3bd298
multicenter clinical trial|phase iia|is a type of|82b3c1fa81d54c2293caa92ec7492023
double-blind|clinical trial|is a characteristic of|82b3c1fa81d54c2293caa92ec7492023
randomized|clinical trial|is a characteristic of|82b3c1fa81d54c2293caa92ec7492023
placebo-controlled|clinical trial|is a characteristic of|82b3c1fa81d54c2293caa92ec7492023
parallel group design|clinical trial|is a design type of|82b3c1fa81d54c2293caa92ec7492023
inclusion criteria|study participants|applies to|82b3c1fa81d54c2293caa92ec7492023
dementia with lewy bodies (dlb)|diagnosis|is a type of|82b3c1fa81d54c2293caa92ec7492023
mild cognitive impairment due to dlb (mci-dlb)|diagnosis|is a type of|82b3c1fa81d54c2293caa92ec7492023
mckeith criteria|diagnosis|establishes|82b3c1fa81d54c2293caa92ec7492023
mini-mental state examination (mmse) score|screening|is a measure in|82b3c1fa81d54c2293caa92ec7492023
antiparkinsonian drugs|study participants|are used by|82b3c1fa81d54c2293caa92ec7492023
dementia medications|study participants|are used by|82b3c1fa81d54c2293caa92ec7492023
dementia with lewy bodies|disease-modifying pharmacological treatment|has no available|cec2628c48074cbeb55c4d106ee14d64
dementia with lewy bodies|alpha-synuclein|is characterized by|cec2628c48074cbeb55c4d106ee14d64
alpha-synuclein|pathological deposition|causes|cec2628c48074cbeb55c4d106ee14d64
reduced alpha-synuclein clearance|endolysosomal pathways|is caused by failure in|cec2628c48074cbeb55c4d106ee14d64
reduced alpha-synuclein clearance|autophagic pathways|is caused by failure in|cec2628c48074cbeb55c4d106ee14d64
glucocerebrosidase|gcase dysfunction|is related to|cec2628c48074cbeb55c4d106ee14d64
gcase dysfunction|gba gene mutations|is caused by|cec2628c48074cbeb55c4d106ee14d64
population studies|gba mutations|demonstrate higher incidence of|cec2628c48074cbeb55c4d106ee14d64
gba mutations|dementia with lewy bodies|are associated with|cec2628c48074cbeb55c4d106ee14d64
alpha-synuclein|dementia with lewy bodies|is a hallmark of|cec2628c48074cbeb55c4d106ee14d64
chaperone-mediated autophagy (cma)|pathological alpha-synuclein (as) depositions|may reduce|0e6a5fb74e774691be7718baddcdf40d
abx|synucleinopathies|is tested in models of|0e6a5fb74e774691be7718baddcdf40d
abx|toxic alpha-synuclein (as) species|reduces concentration of|0e6a5fb74e774691be7718baddcdf40d
abx|cerebrospinal fluid (csf)|penetrates into|0e6a5fb74e774691be7718baddcdf40d
abx|glucocerebrosidase (gcase) activity|enhances effect on|0e6a5fb74e774691be7718baddcdf40d
human cells|glucocerebrosidase (gcase) activity|is affected by|0e6a5fb74e774691be7718baddcdf40d
preclinical trials|abx|show promising effects of|0e6a5fb74e774691be7718baddcdf40d
abx|effects|show|0e6a5fb74e774691be7718baddcdf40d
toxic alpha-synuclein (as) species|pathological alpha-synuclein (as) depositions|is related to|0e6a5fb74e774691be7718baddcdf40d
chaperone-mediated autophagy (cma)|abx|is a potential treatment for|0e6a5fb74e774691be7718baddcdf40d
